backend,candidate_route_count_formal_export,candidate_route_introspection_status,edge_disjoint_pair_count,flow_id,flow_kind,forced_edge_count,input_rank,mean_pairwise_edge_jaccard,scenario,unavailability_reason
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,109,,M_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,65,,M_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,67,,M_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,3,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,109,,M_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,5,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,IC_PREV_CC_C03,InterCellPrevious,,130,,M_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,65,,M_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,67,,M_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,3,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C03_PLC_C03_M01,MachineCoordination,,102,,M_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,3,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,109,,M_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,,31,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,85,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,87,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,,135,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,,173,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,,179,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,,199,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,,203,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,,219,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,,239,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,,250,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,273,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,IC_PREV_CC_C03,InterCellPrevious,,338,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,STAT_PLC_C05_M04,MachineStatus,,883,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,,31,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C05_M04_A2_C05_M04,ControlCommand,,77,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,85,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,87,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,,135,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,,173,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,,179,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,,199,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,,203,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,,219,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,,239,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,,250,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C03_PLC_C03_M01,MachineCoordination,,264,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,1,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,273,,L_RING,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,,31,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,85,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,87,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,,135,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,,173,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,,179,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,,199,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,,203,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,,219,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,,239,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,,250,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,273,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,5,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,IC_PREV_CC_C03,InterCellPrevious,,338,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,STAT_PLC_C05_M04,MachineStatus,,883,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,,31,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C05_M04_A2_C05_M04,ControlCommand,,77,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,85,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,87,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,,135,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,,173,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,,179,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,,199,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,,203,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,,219,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,,239,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,,250,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C03_PLC_C03_M01,MachineCoordination,,264,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,273,,L_REDSTAR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,,31,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,85,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,87,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,,135,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,,173,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,,179,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,,199,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,,203,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,,219,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,,239,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,,250,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,3,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,273,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,5,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,IC_PREV_CC_C03,InterCellPrevious,,338,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
H2S,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,STAT_PLC_C05_M04,MachineStatus,,883,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,,31,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C05_M04_A2_C05_M04,ControlCommand,,77,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,,85,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,,87,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,,135,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,,173,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,,179,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,,199,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,,203,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,,219,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,,239,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,2,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,,250,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,3,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C03_PLC_C03_M01,MachineCoordination,,264,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
CELF,3,CANDIDATE_ROUTE_INTROSPECTION_UNAVAILABLE,,COORD_CC_C05_PLC_C05_M02,MachineCoordination,,273,,L_ROR,"Upstream P0 JSON exports candidate counts, not formal candidate node/link paths."
