flow_id,flow_kind,rank_position_within_kind,rank_sha256,retained_D050,retained_D060,retained_D070,retained_D080,retained_D085,retained_D090,retained_D095,retained_D100,scale
CMD_PLC_C02_M03_A2_C02_M03,ControlCommand,21,4f08b0c9e9fdb58e2df7aa8487d9e7c9d47a33db678a59007d01fe4131ed9f9a,True,True,True,True,True,True,True,True,M
CMD_PLC_C03_M01_A4_C03_M01,ControlCommand,22,4f90eb2b1ee5bc951c754f95c90a18853b0719f3bf27532fa77982ef69c16024,True,True,True,True,True,True,True,True,M
CMD_PLC_C01_M02_A3_C01_M02,ControlCommand,23,50ffc365282194ec5911e109f254f383e936cb840d6765182d3128efec3c58bb,True,True,True,True,True,True,True,True,M
CMD_PLC_C04_M03_A4_C04_M03,ControlCommand,24,516769c767c823a78b9958012aec989c63728a11bf66e705567497dca4706212,True,True,True,True,True,True,True,True,M
CMD_PLC_C05_M02_A3_C05_M02,ControlCommand,25,5427251d0d76ad7d1e7cefd3ad56f067bda504418a79f4b2a5f68e92b226de96,True,True,True,True,True,True,True,True,M
CMD_PLC_C01_M03_A4_C01_M03,ControlCommand,26,5689f172156c341e4027a2da424b0614109f6c9c308619581fe65919e2b4ae9e,True,True,True,True,True,True,True,True,M
CMD_PLC_C02_M02_A2_C02_M02,ControlCommand,27,5846ab37e6b209d0b146ef05bb719effd46c46d81a1203800b4a717210fe7709,True,True,True,True,True,True,True,True,M
CMD_PLC_C04_M03_A3_C04_M03,ControlCommand,28,5a2aa4e7ead158f4a16dce76340052fea826c4c21f42ae17bd64a76e6853937c,True,True,True,True,True,True,True,True,M
CMD_PLC_C05_M01_A2_C05_M01,ControlCommand,29,5c80fb2467c0aa64c535d9829171ab51f2e5c3593c153b9086b2e4341de5ae88,True,True,True,True,True,True,True,True,M
CMD_PLC_C01_M01_A2_C01_M01,ControlCommand,30,608e3aeccd444343d973c712cc9dc9c88de22b471e786ed90e0ed859149977fd,True,True,True,True,True,True,True,True,M
CMD_PLC_C03_M03_A3_C03_M03,ControlCommand,31,675a99849647b05e08eee0ad56c92b36a89ec24180b0b23764262dab03c378d0,True,True,True,True,True,True,True,True,M
CMD_PLC_C05_M03_A2_C05_M03,ControlCommand,32,6a5694a3cb748a2daac73070f709a4f248a13dac5f4f363c9bce4af0deb727d4,True,True,True,True,True,True,True,True,M
CMD_PLC_C08_M02_A3_C08_M02,ControlCommand,33,6f283ff25c083835d6f281ad21a162ec52c4e184d6455bb8f03954472fe2afa8,True,True,True,True,True,True,True,True,M
CMD_PLC_C06_M01_A3_C06_M01,ControlCommand,34,70d17a72896d635721ea1717a21862badf95074b368b34c23881c25f1a8de06e,True,True,True,True,True,True,True,True,M
CMD_PLC_C01_M01_A1_C01_M01,ControlCommand,35,7103cbf58a37fea8e0de95a62bbf3b3741fe53c39fdb01d7c83735a57a186b36,True,True,True,True,True,True,True,True,M
CMD_PLC_C03_M01_A1_C03_M01,ControlCommand,36,71ca0eed8d7e6b94f8bb9f3c5ba928f79f24b2c01e8f215c97c1d0f6a60b3bf7,True,True,True,True,True,True,True,True,M
CMD_PLC_C06_M01_A4_C06_M01,ControlCommand,37,71facabacf308b1a5875f1db3fbe074fc5f2c7760892952c9183f8e76a57ca57,True,True,True,True,True,True,True,True,M
CMD_PLC_C04_M02_A3_C04_M02,ControlCommand,38,758cca8f08e032d3b1dfe227666e94a89c88db2f79c936226f9e1f7504a919d4,True,True,True,True,True,True,True,True,M
CMD_PLC_C07_M01_A2_C07_M01,ControlCommand,39,762cc43db64063bf779dd6f090c033f50491fd0f5740532bf27c3bc74375cd37,True,True,True,True,True,True,True,True,M
CMD_PLC_C03_M03_A1_C03_M03,ControlCommand,40,7932f734bedc461b1a4d1e66fcb6f002f7321c603264c0dcea3db3f5db51aaed,True,True,True,True,True,True,True,True,M
CMD_PLC_C06_M03_A1_C06_M03,ControlCommand,41,7d3430c2c8e7b049b7c309a539ae96fab29c1260a672a25da9a367e42246716b,True,True,True,True,True,True,True,True,M
CMD_PLC_C03_M02_A3_C03_M02,ControlCommand,42,7e97d75d48c433d4cebfcd3c7b9d2739ea1614b0f222442a0808e569b8d924a9,True,True,True,True,True,True,True,True,M
CMD_PLC_C01_M03_A1_C01_M03,ControlCommand,43,8048f1b4cb597c0786097db5c13c477e622646f5ad92929c610be325c5b4920d,True,True,True,True,True,True,True,True,M
CMD_PLC_C07_M02_A4_C07_M02,ControlCommand,44,8060e72aaa990539542f984028914250a00ce26d9fb3a6b60150e358fd676855,True,True,True,True,True,True,True,True,M
CMD_PLC_C04_M02_A4_C04_M02,ControlCommand,45,8539dc2feba9ed31c507d89756ec692513c6959731b8ffd09a393752a1197e71,True,True,True,True,True,True,True,True,M
CMD_PLC_C03_M02_A1_C03_M02,ControlCommand,46,87ba9136fdc530e3598d4a167bd99574f58d2745fa1e0f4f2d947560b17303ca,True,True,True,True,True,True,True,True,M
CMD_PLC_C02_M03_A4_C02_M03,ControlCommand,47,88bb00014b38220bac779aaaae18a13990386421a6f265b55d7fddea5152f59f,True,True,True,True,True,True,True,True,M
CMD_PLC_C01_M03_A3_C01_M03,ControlCommand,48,89b95d1cb548a3b5b065ce4605a38097069f00645c6dfc792158321a885e737d,True,True,True,True,True,True,True,True,M
CMD_PLC_C03_M02_A4_C03_M02,ControlCommand,49,8a24d2a6201347cbad7767446768766bbf7634b02e40252a53ed92f9aeaec461,False,True,True,True,True,True,True,True,M
CMD_PLC_C04_M03_A1_C04_M03,ControlCommand,50,8cc447dd158ec4120dff82c2ade353275fcd8a655ff56047698162bd98eeab61,False,True,True,True,True,True,True,True,M
CMD_PLC_C07_M03_A2_C07_M03,ControlCommand,51,9038cb1e76647f9eefc87e01d38721042c0073e9778ae49a69d6ab227e3f6654,False,True,True,True,True,True,True,True,M
CMD_PLC_C06_M03_A4_C06_M03,ControlCommand,52,936c16c61846febe792c85d132db1d49d96ead10b89f335665fad2071f815c3a,False,True,True,True,True,True,True,True,M
CMD_PLC_C08_M02_A1_C08_M02,ControlCommand,53,9418a4a79d05b508d686b74fd113c0c1912e03654df66f3b853fe98784e20c02,False,True,True,True,True,True,True,True,M
CMD_PLC_C01_M02_A1_C01_M02,ControlCommand,54,9680310c0f76fa5f8373dd7d3829be0096c656493154f8a07c3c11b816749959,False,True,True,True,True,True,True,True,M
CMD_PLC_C05_M01_A4_C05_M01,ControlCommand,55,982f360bc00b68ae3fc7ebdee565c7d6e476db4a73b4dbdb9a32f873c2318256,False,True,True,True,True,True,True,True,M
CMD_PLC_C04_M01_A3_C04_M01,ControlCommand,56,9fe1d68382e9d558c5ad829f4bb18e72d4347538313e8d3083680edc4eaed2e3,False,True,True,True,True,True,True,True,M
CMD_PLC_C07_M03_A4_C07_M03,ControlCommand,57,a04a2f2505d861f06044129123aa9865e7830212b4579c97d7f1ae70187d2511,False,True,True,True,True,True,True,True,M
CMD_PLC_C03_M01_A2_C03_M01,ControlCommand,58,a13d98c9e3946fd109a90f970a6913cd4108f42c8589ea087dcd47b71e7c38ce,False,False,True,True,True,True,True,True,M
CMD_PLC_C02_M02_A1_C02_M02,ControlCommand,59,a3c115749a12dcff4415257952f1eb0ca8ad478d71b847eb83e0d7627e1e04c9,False,False,True,True,True,True,True,True,M
CMD_PLC_C04_M01_A2_C04_M01,ControlCommand,60,a5ecf3b19006dfcb7ab9e6019d077a4cea64dd95cf3de56f00b05c0e694b2cd9,False,False,True,True,True,True,True,True,M
CMD_PLC_C07_M01_A3_C07_M01,ControlCommand,61,a61b397d54fc0ba2628b57252a9001acd19f908c34ab75bbd6c9a04a54c951b7,False,False,True,True,True,True,True,True,M
CMD_PLC_C02_M03_A3_C02_M03,ControlCommand,62,a6c88a390f270eb3d793ea0758c55075eee092fb24a2243910c05fb6f6b65276,False,False,True,True,True,True,True,True,M
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,63,a90c8fc6a586092d8928f96e77bffe1a6f0e8ec2a36a25164c61d98ac695bb0b,False,False,True,True,True,True,True,True,M
CMD_PLC_C06_M01_A2_C06_M01,ControlCommand,64,a9317a441aaf38b2f82d0804e3658329d5839df4e10d9c8d4eddcf46854bbab5,False,False,True,True,True,True,True,True,M
CMD_PLC_C04_M02_A2_C04_M02,ControlCommand,65,a94252d03749a7edb9dd25b6b1f59a47afcde2c5e5f8496c4842cdb91e6c9333,False,False,True,True,True,True,True,True,M
CMD_PLC_C08_M01_A3_C08_M01,ControlCommand,66,aa765437533461de274b84c835b0f324c2cde7ce8b74156b0e1b4714e1336a4f,False,False,True,True,True,True,True,True,M
CMD_PLC_C06_M01_A1_C06_M01,ControlCommand,67,aafe053a0fad7a46f09accd764a8059c0b26d0e8d9f10b7b58279210aceb78ec,False,False,True,True,True,True,True,True,M
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,68,abdade472da3a16d36bc78f551dc56b9928191ebf2d0ea536fa6dee8f4fe2ffa,False,False,False,True,True,True,True,True,M
CMD_PLC_C06_M03_A2_C06_M03,ControlCommand,69,b0463974bc3d4926c96367f18ac33e2fc5fc7918daf1d1a48430a9d8c162fa6d,False,False,False,True,True,True,True,True,M
CMD_PLC_C08_M01_A2_C08_M01,ControlCommand,70,b63955a49422611683bd65ad1dc6cfeb7c3d3e1d8ec0ddaab6b650fbfb898eb3,False,False,False,True,True,True,True,True,M
CMD_PLC_C05_M02_A1_C05_M02,ControlCommand,71,b9babb8f036379a4a7ac7d4ffd246172b6f401030ff16aed88eced6932fe7d8c,False,False,False,True,True,True,True,True,M
CMD_PLC_C05_M03_A1_C05_M03,ControlCommand,72,bff78b545214e6c69babef11b5ff1ed58d52c0602fe9f07a9779bae287a48e57,False,False,False,True,True,True,True,True,M
CMD_PLC_C02_M01_A1_C02_M01,ControlCommand,73,c4a4486ef9960ed53dd22fc693c8e2b428e6c7b55844da03d3fbdec7845b8e42,False,False,False,True,True,True,True,True,M
CMD_PLC_C04_M01_A4_C04_M01,ControlCommand,74,c5da6ed2c6a8d7dccb89de0b9962f2c3971b36b420895b3056688e922213fc5a,False,False,False,True,True,True,True,True,M
CMD_PLC_C02_M02_A3_C02_M02,ControlCommand,75,c646c446addf58a85c1732df34ee84383dbc7d1396daa88fa744923535a8b9d1,False,False,False,True,True,True,True,True,M
CMD_PLC_C08_M02_A4_C08_M02,ControlCommand,76,c78398e4fc0305eba7ba2af79f375c7bd6f43fb0a7394ec74b33b5a5b95b11e8,False,False,False,True,True,True,True,True,M
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,77,cc55d0682b93f5cedcaa21b0bc233c83299d138c8a222c68f47cbdc2760a3f29,False,False,False,False,True,True,True,True,M
CMD_PLC_C04_M02_A1_C04_M02,ControlCommand,78,cd0a3f4be6e89fa8306508961e31590ecab2e01272b333b4aad1f488fc50aa07,False,False,False,False,True,True,True,True,M
CMD_PLC_C01_M02_A2_C01_M02,ControlCommand,79,cf4f0d53da85226d0a93e4da906b33032475eab01955d5df6ff7740716242026,False,False,False,False,True,True,True,True,M
CMD_PLC_C07_M02_A1_C07_M02,ControlCommand,80,d2ae1e3f884ab00e0a1bdce655b860448552318002694d72ad15a6b03331eb1e,False,False,False,False,True,True,True,True,M
CMD_PLC_C02_M01_A2_C02_M01,ControlCommand,81,d2df046aff31450fcbeb3950b69671efe98bba0d5286781bff63dc39a5371c95,False,False,False,False,True,True,True,True,M
CMD_PLC_C03_M01_A3_C03_M01,ControlCommand,82,d511d4aee6f95808cfa90c148d997d9ee5b48712fdab9370a066866e2a777046,False,False,False,False,False,True,True,True,M
CMD_PLC_C01_M01_A3_C01_M01,ControlCommand,83,d7174341eb50795770c145b4efddd7719f456463fa344434ee376883ea8e57bc,False,False,False,False,False,True,True,True,M
CMD_PLC_C07_M01_A4_C07_M01,ControlCommand,84,d8404947dc79e5d7c1749ef5c9b220e0dfa91014b858d46664b557d1cd4bf1b5,False,False,False,False,False,True,True,True,M
CMD_PLC_C08_M03_A4_C08_M03,ControlCommand,85,d9c7d5abf892119b861971f65c0637fac48772e450bf8025ca2931f8fa75a18f,False,False,False,False,False,True,True,True,M
CMD_PLC_C08_M03_A3_C08_M03,ControlCommand,86,deafa018a1c0ef1520510a405916faa8e12542e585412fcb51cc9787ccc8ad04,False,False,False,False,False,True,True,True,M
CMD_PLC_C01_M01_A4_C01_M01,ControlCommand,87,e1fbc07edbf238b4cb668397c228083d429b5482824beceb77f2559a8db4f231,False,False,False,False,False,False,True,True,M
CMD_PLC_C05_M02_A4_C05_M02,ControlCommand,88,e77a7821df3bf25517efff66b9dc077c56b53754cadfdc6b20151d521f3d4256,False,False,False,False,False,False,True,True,M
CMD_PLC_C04_M01_A1_C04_M01,ControlCommand,89,ef1c189b1b0d2c7bfa6069b83778a175476890244dbe007a3e6ec9c89fb87ff6,False,False,False,False,False,False,True,True,M
CMD_PLC_C05_M02_A2_C05_M02,ControlCommand,90,f156609cd159bb6ed321833b0acbf616037a66fd3967a11b91599e413696b826,False,False,False,False,False,False,True,True,M
CMD_PLC_C08_M03_A1_C08_M03,ControlCommand,91,f19347a05449efd74286c387f574fdaef9f87b91236db429895910a496c7e7ad,False,False,False,False,False,False,True,True,M
CMD_PLC_C02_M03_A1_C02_M03,ControlCommand,92,f200f44f4442b29a0c7350101f0e2762a3687eeab22ad0782071b8c161fdf2e3,False,False,False,False,False,False,False,True,M
CMD_PLC_C03_M03_A4_C03_M03,ControlCommand,93,f84089c2b482077a53aef48583f61c0277a8f4c458a31b5b6798167166d6a0bb,False,False,False,False,False,False,False,True,M
CMD_PLC_C03_M03_A2_C03_M03,ControlCommand,94,f931ac300fe321ffc4654a7227178ba6a18f68c2b8cf13e377233adae821e372,False,False,False,False,False,False,False,True,M
CMD_PLC_C07_M02_A2_C07_M02,ControlCommand,95,f93e65a93337023f20a9899713c5aa9ef4a87bdeb29a3c12e54cff11ae62e490,False,False,False,False,False,False,False,True,M
CMD_PLC_C01_M02_A4_C01_M02,ControlCommand,96,fcd14bfc279ec99c9f73f4abe01d6e1d7ad1ec36c681bcc48a2b80ac0478cb2a,False,False,False,False,False,False,False,True,M
IC_NEXT_CC_C02,InterCellNext,1,02d718e311b9bdd6761e7ffce1a70a82608fd28eea286700aea80b6c3fd134a9,True,True,True,True,True,True,True,True,M
IC_NEXT_CC_C03,InterCellNext,2,3366e4f8d0cc86f042beb912fb7afe1c25d532e3cb66b9a3abb731c2b891e96e,True,True,True,True,True,True,True,True,M
IC_NEXT_CC_C04,InterCellNext,3,34f0a612e88d4b1c93331403f7f781a27ca123a2b2a29e5427c8eb2ee7b45113,True,True,True,True,True,True,True,True,M
IC_NEXT_CC_C07,InterCellNext,4,7e2613ff6c9d6f9b413b8fde997f03c39314a8fc6a29a6e10885538b2e1fc85a,True,True,True,True,True,True,True,True,M
IC_NEXT_CC_C01,InterCellNext,5,8b789387afd178a4a0984f67ac0308d80e196c5b0e5cb87d54b20d75739c79e9,False,False,True,True,True,True,True,True,M
IC_NEXT_CC_C08,InterCellNext,6,8bdc388760749154601c29e475174d07c74bc637746533589636b8f34024e938,False,False,False,True,True,True,True,True,M
IC_NEXT_CC_C05,InterCellNext,7,a3bd5295237f6b5c2bc1b3a8f209591973504baf81e2cec2436513f47b227f3d,False,False,False,False,False,True,True,True,M
IC_NEXT_CC_C06,InterCellNext,8,f689afdc0d580edc720804a3b6f4418e86f9001665b939752081ae2f38983c41,False,False,False,False,False,False,False,True,M
IC_PREV_CC_C04,InterCellPrevious,1,067b4e1c2657c440003542111d1c530b4441bd20e96c87322c8b8c435c57025f,True,True,True,True,True,True,True,True,M
IC_PREV_CC_C03,InterCellPrevious,2,1cbc995350eafc37fd9bbf7c949aaa02d873549133ccab9a0aa09bb5ab799c26,True,True,True,True,True,True,True,True,M
IC_PREV_CC_C08,InterCellPrevious,3,3e1b2c8728de338804171f7930cc1c3f9f96091e20b3c0b19f611756174aca85,True,True,True,True,True,True,True,True,M
IC_PREV_CC_C06,InterCellPrevious,4,4c45d8fd8d1dd2b2c27393979c1f9f071999db3dcdefaf6154032e438de4db41,True,True,True,True,True,True,True,True,M
IC_PREV_CC_C05,InterCellPrevious,5,4cbeed45bbedf178bcdfdf94000b9ef10d4f00ee0f77ff076e6316c7a5b84da1,False,False,True,True,True,True,True,True,M
IC_PREV_CC_C01,InterCellPrevious,6,5db95ec2beb1f226a99908141101161aad328922a0d03cd157f27fefe77e40f5,False,False,False,True,True,True,True,True,M
IC_PREV_CC_C02,InterCellPrevious,7,6cb4ffdb3ed616078e43b2408dd5dafc2f61ea944097db4ea08889d4b814a4b8,False,False,False,False,False,True,True,True,M
IC_PREV_CC_C07,InterCellPrevious,8,f5781f4089f7ec0ea3cf840581721349606356c3e66056cedc8b06b0af3ba72f,False,False,False,False,False,False,False,True,M
COORD_CC_C07_PLC_C07_M02,MachineCoordination,1,00fa7e47c35381eab6cb6137f50737a38cc98ed4543fec4ab793784ae3cce5c4,True,True,True,True,True,True,True,True,M
COORD_CC_C06_PLC_C06_M02,MachineCoordination,2,04b1499268979b57a3ff016ecde7c322e6ac7e99491b91548d79bb2cae543e9c,True,True,True,True,True,True,True,True,M
COORD_CC_C07_PLC_C07_M03,MachineCoordination,3,1668ac8cf22636f66242dc07b0a242c04d9eb9da3c489962326e2c966fc262ab,True,True,True,True,True,True,True,True,M
COORD_CC_C01_PLC_C01_M01,MachineCoordination,4,1a6b1c7ee10d12badad05681b08f903f5368da8f5b4559422d3667684d2a8d0c,True,True,True,True,True,True,True,True,M
COORD_CC_C01_PLC_C01_M03,MachineCoordination,5,29ffa116c227948e4cf39eaaa2fff7c2037580b96807682306cd55abe19dad16,True,True,True,True,True,True,True,True,M
COORD_CC_C02_PLC_C02_M02,MachineCoordination,6,2dbeb5972b79824cc6cdd926eb1a279d963b7e0e52f66b377f63f3d886f0f13c,True,True,True,True,True,True,True,True,M
COORD_CC_C04_PLC_C04_M02,MachineCoordination,7,36bbb6dcc483a4f861e159a985f351982d770ff9c183c9dc243329a120c65592,True,True,True,True,True,True,True,True,M
COORD_CC_C06_PLC_C06_M01,MachineCoordination,8,387b90da2eae8f9d41857a184794f4b749910685b58d970a641ddf094765a906,True,True,True,True,True,True,True,True,M
COORD_CC_C08_PLC_C08_M02,MachineCoordination,9,40991b26726e8dcb3cf1eb1f76bea24835802f247e88d002c5619884ce0562c8,True,True,True,True,True,True,True,True,M
COORD_CC_C01_PLC_C01_M02,MachineCoordination,10,4830dc18d7bac72fc912bea3f6eec4e105780b403857a05a879f7eaa9397f479,True,True,True,True,True,True,True,True,M
COORD_CC_C08_PLC_C08_M03,MachineCoordination,11,494c833861861121120c3cd4b16de0a9f86b955e2e162d657a0e65239f3473e6,True,True,True,True,True,True,True,True,M
COORD_CC_C06_PLC_C06_M03,MachineCoordination,12,5940bec435446202f8ad6f07a8585b5834cda94c2651802fa913818c5d862536,True,True,True,True,True,True,True,True,M
COORD_CC_C05_PLC_C05_M03,MachineCoordination,13,6a2ac01aa9a08cfc16198dadf2d4be7585a253536db7fff5a81f4bb20f7c0ce2,False,True,True,True,True,True,True,True,M
COORD_CC_C07_PLC_C07_M01,MachineCoordination,14,6fb05c287c79768097b52dbea92214388600236aa2c64fef00ee98bf115e6739,False,True,True,True,True,True,True,True,M
COORD_CC_C03_PLC_C03_M03,MachineCoordination,15,7a0d6d2de028ef9b6c8d6563a362f5afd4d535933402b7c70378b763bd333048,False,False,True,True,True,True,True,True,M
COORD_CC_C04_PLC_C04_M01,MachineCoordination,16,7ad365c8269b4431d0040f14f717e150830d3a5856149d52b65e1e601d317240,False,False,True,True,True,True,True,True,M
COORD_CC_C02_PLC_C02_M01,MachineCoordination,17,936bc883deba6adfe174f962b2f5b091aff02499af1ab806f6320425b8cbb52a,False,False,False,True,True,True,True,True,M
COORD_CC_C03_PLC_C03_M02,MachineCoordination,18,a5a277c5795abe78b0071638dec113b31a5da3174c0ccb4ad5ce4876ae4251e9,False,False,False,True,True,True,True,True,M
COORD_CC_C02_PLC_C02_M03,MachineCoordination,19,a679af2ef2617f9e8a9844b6d7324d098b71426f1ba1aa452c0bebe59eeeeaff,False,False,False,True,True,True,True,True,M
COORD_CC_C04_PLC_C04_M03,MachineCoordination,20,bab5230f5895385cdf7f95282798226008d82485f68ac5573d6afed5d889c7fd,False,False,False,False,True,True,True,True,M
COORD_CC_C05_PLC_C05_M01,MachineCoordination,21,c770c7e57f8948e9ac84360f3ae35581595c878b1d25dcb5474c94ccdc0a921f,False,False,False,False,False,True,True,True,M
COORD_CC_C03_PLC_C03_M01,MachineCoordination,22,db89a64a0270c9fd9546f0700f983bc5a773b83d158630b197490841e28f6cf4,False,False,False,False,False,False,True,True,M
COORD_CC_C05_PLC_C05_M02,MachineCoordination,23,e17bb565252c1ce1c36afaada32d95cc1ac619aaf16a9bff58f6e131de808fa1,False,False,False,False,False,False,False,True,M
COORD_CC_C08_PLC_C08_M01,MachineCoordination,24,f868d1b43244b7e79690be5558167e5bc79c58161c1db333ddd22b4d9e6abac2,False,False,False,False,False,False,False,True,M
STAT_PLC_C06_M02,MachineStatus,1,19254e057ece412f1b8ea1f8440ba1a5aee450c5c23590b4c42ac383f422fd88,True,True,True,True,True,True,True,True,M
STAT_PLC_C08_M02,MachineStatus,2,22f6afe8702463917dbb053236201a8bf0be9b34e867b4e06158429b62b4d1f7,True,True,True,True,True,True,True,True,M
STAT_PLC_C07_M01,MachineStatus,3,282ccd37cd69d50e391a5c49358fbba5552f243a8f7b1932ee1516b6409bb470,True,True,True,True,True,True,True,True,M
STAT_PLC_C03_M02,MachineStatus,4,32a04cdc2f6019c5c36315c1048a678528146860db51e6ecce518a712c6cb551,True,True,True,True,True,True,True,True,M
STAT_PLC_C06_M01,MachineStatus,5,41e5b901013a800561026797f666399d625966634144a7ec7cd4b5ce34429a0e,True,True,True,True,True,True,True,True,M
STAT_PLC_C05_M03,MachineStatus,6,5a9621337deaeaefb555867441915b86e6ffe7391b69f7d1cbbec50fdeaca7fd,True,True,True,True,True,True,True,True,M
STAT_PLC_C03_M03,MachineStatus,7,5cfe4c16a1e5173f43bf737756ce24d9d5ad3fb1ff308acad84e82124756d97e,True,True,True,True,True,True,True,True,M
STAT_PLC_C04_M02,MachineStatus,8,872d83d748f9c8fb30c3e0415c4c5eebe663981cb26fbee6b52f611a53fa697e,True,True,True,True,True,True,True,True,M
STAT_PLC_C06_M03,MachineStatus,9,8f873174cb44639666a91e72164b0be1ed3845ca3f5566f7b79543e6b25f5c10,True,True,True,True,True,True,True,True,M
STAT_PLC_C08_M03,MachineStatus,10,93efbbe184528db34f9a341c39cf8836f8a6ebcc39b8ba1ef5d9b0080b43cd09,True,True,True,True,True,True,True,True,M
STAT_PLC_C07_M03,MachineStatus,11,a130ba91e26d8e913354703e4e1f490561c542540b80d207b8f8fd7d5bd3b6c4,True,True,True,True,True,True,True,True,M
STAT_PLC_C02_M01,MachineStatus,12,a2fc30f3611a2be6d16f86f5bdde3b502d6fb827338ff754ad11957d6f15ef9f,True,True,True,True,True,True,True,True,M
STAT_PLC_C04_M03,MachineStatus,13,a7eefad2757b7f569fab7cccf16c64f9bab6f260e373145775e78c30a5ecf683,False,True,True,True,True,True,True,True,M
STAT_PLC_C02_M03,MachineStatus,14,ae10a323c9a9e33bda2d79b17ccbe10464e8fc01f4182b31c7900bd87133e788,False,True,True,True,True,True,True,True,M
STAT_PLC_C02_M02,MachineStatus,15,afb5884d088007c26bfbb594f765e3ebd2bc067f28baee94b56935d3ae433d2a,False,False,True,True,True,True,True,True,M
STAT_PLC_C04_M01,MachineStatus,16,b8103b23b67bbb223ba7c7ba5fce0c65d7acd8e9a112e0c228a9cc9002266d4e,False,False,True,True,True,True,True,True,M
STAT_PLC_C01_M01,MachineStatus,17,bf669402b5924a9713e3fe65a78c3e55407556e756bc4781a283145ba233af17,False,False,False,True,True,True,True,True,M
